id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
NE;Nordeste;2021-05-15;10348.35758333
S;Sul;2021-05-15;10517.77466667
SE;Sudeste/Centro-Oeste;2021-05-15;36877.49587500
N;Norte;2021-05-16;5669.34637500
NE;Nordeste;2021-05-16;9749.54829167
S;Sul;2021-05-16;9125.64958333
SE;Sudeste/Centro-Oeste;2021-05-16;33667.10812500
N;Norte;2021-05-17;6051.81916667
NE;Nordeste;2021-05-17;10785.46191667
S;Sul;2021-05-17;11844.93983333
SE;Sudeste/Centro-Oeste;2021-05-17;38835.57220833
N;Norte;2021-05-18;6155.97895833
NE;Nordeste;2021-05-18;11162.30750000
S;Sul;2021-05-18;12176.19708333
SE;Sudeste/Centro-Oeste;2021-05-18;39528.71595833
N;Norte;2021-05-19;6061.57691667
NE;Nordeste;2021-05-19;11146.32479167
S;Sul;2021-05-19;12291.41075000
SE;Sudeste/Centro-Oeste;2021-05-19;39497.50195833
N;Norte;2021-05-20;6115.07037500
NE;Nordeste;2021-05-20;11249.42545833
S;Sul;2021-05-20;12537.38870833
SE;Sudeste/Centro-Oeste;2021-05-20;39655.49566667
N;Norte;2021-05-21;6311.83241667
NE;Nordeste;2021-05-21;11172.98941667
S;Sul;2021-05-21;12572.93554167
SE;Sudeste/Centro-Oeste;2021-05-21;40349.56779167
N;Norte;2021-05-22;6099.34229167
NE;Nordeste;2021-05-22;10691.47658333
S;Sul;2021-05-22;10304.16450000
SE;Sudeste/Centro-Oeste;2021-05-22;37738.46187500
N;Norte;2021-05-23;5720.32008333
NE;Nordeste;2021-05-23;10054.60670833
S;Sul;2021-05-23;8770.66420833
SE;Sudeste/Centro-Oeste;2021-05-23;34675.68975000
N;Norte;2021-05-24;6383.15679167
NE;Nordeste;2021-05-24;11028.21841667
S;Sul;2021-05-24;11529.04591667
SE;Sudeste/Centro-Oeste;2021-05-24;38529.66375000
N;Norte;2021-05-25;6416.01333333
NE;Nordeste;2021-05-25;11277.05929167
S;Sul;2021-05-25;11968.90333333
SE;Sudeste/Centro-Oeste;2021-05-25;38725.76587500
N;Norte;2021-05-26;6417.49954167
